,timestamp,word
0,2024-03-20T00:00:00Z,Mujhe aaj bahut khushi hai
1,2024-03-20T00:00:00Z,Mujhe uski yaad aa rahi hai
2,2024-03-20T00:00:00Z,Mujhe lagta hai sab theek hai
3,2024-03-20T00:00:00Z,Mujhe kaafi stress ho raha hai
4,2024-03-20T00:00:00Z,Aaj ka din bahut achha tha
5,2024-03-20T00:00:00Z,Usne mujhe ignore kar diya
6,2024-03-20T00:00:00Z,Mujhe thoda bura lag raha hai
7,2024-03-20T00:00:00Z,Padhai bahut zyada ho rahi hai
8,2024-03-20T00:00:00Z,Main aaj badi khush hoon
9,2024-03-20T00:00:00Z,Ghar par sab theek hai
10,2024-03-20T00:00:00Z,Mujhe kuch samajh nahi aa raha
11,2024-03-20T00:00:00Z,Kal test hai
12,2024-03-20T00:00:00Z,Mujhe uski yaad bahut aati hai
13,2024-03-20T00:00:00Z,Mujhe ghar jaana hai
14,2024-03-20T00:00:00Z,Mujhe lag raha hai mujhe bukhaar hai
15,2024-03-20T00:00:00Z,Padhai ka load zyada ho raha hai
16,2024-03-20T00:00:00Z,Main aaj bohot khush hoon
17,2024-03-20T00:00:00Z,Usne mere saath dhoka kiya
18,2024-03-20T00:00:00Z,Aaj mausam bahut achha hai
19,2024-03-20T00:00:00Z,Mujhe test ke liye stress ho raha hai
20,2024-03-20T00:00:00Z,Mujhe ppt ke liye stress ho raha hai
21,2024-03-20T00:00:00Z,Mujhe aaj bohot accha laga
22,2024-03-20T00:00:00Z,Mujhe unka message nahi mila
23,2024-03-20T00:00:00Z,Mujhe thodi si bimar hai
24,2024-03-20T00:00:00Z,padhai samjhne mein mushkil ho rahi hai
25,2024-03-20T00:00:00Z,Maine aaj shopping ki
26,2024-03-20T00:00:00Z,Usne mujhse jhoot bola
27,2024-03-20T00:00:00Z,Aaj sab kuch theek thaak hai
28,2024-03-20T00:00:00Z,Mujhe class mein zyada kaam mila hai
29,2024-03-20T00:00:00Z,Arey boht sara padhna hai
30,2024-03-21T00:00:00Z,Usne mujhe gift diya
31,2024-03-21T00:00:00Z,Mujhe thoda gussa aa raha hai
32,2024-03-21T00:00:00Z,Mujhe yahan acha nahi lag raha hai
33,2024-03-21T00:00:00Z,Aaj kaafi achha din tha
34,2024-03-21T00:00:00Z,Usne mere sapne tode
35,2024-03-21T00:00:00Z,Mujhe neend aa rahi hai
36,2024-03-21T00:00:00Z,Life mein tension ho rahi hai
37,2024-03-21T00:00:00Z,Mujhe aaj party mein jaana hai
38,2024-03-21T00:00:00Z,Usne mere dil ko dukhaya
39,2024-03-21T00:00:00Z,Mujhe kuch samajh nahi aa raha hai
40,2024-03-21T00:00:00Z,Mujhe office mein bahut pressure hai
41,2024-03-21T00:00:00Z,Usne mujhe ignore kiya
42,2024-03-21T00:00:00Z,Mujhe ghar ki yaad aa rahi hai
43,2024-03-21T00:00:00Z,Kaam ka load zyada hai
44,2024-03-21T00:00:00Z,Mujhe aaj kuch khushi nahi ho rahi
45,2024-03-21T00:00:00Z,Usne mera dil dukhaya
46,2024-03-21T00:00:00Z,Aaj kaafi normal din tha
47,2024-03-21T00:00:00Z,Mujhe aaj bahut achha laga
48,2024-03-21T00:00:00Z,Mujhe thoda bukhaar hai
49,2024-03-21T00:00:00Z,Usne mujhe gift diya
50,2024-03-21T00:00:00Z,Mujhe kaam karne mein tension ho rahi hai
51,2024-03-21T00:00:00Z,Usne mujhe ignore kar diya
52,2024-03-21T00:00:00Z,Mujhe ghar jaana hai
53,2024-03-21T00:00:00Z,Rehne mein mushkil ho rahi hai
54,2024-03-21T00:00:00Z,Maine aaj kuch naya seekha
55,2024-03-21T00:00:00Z,Usne mujhse baat nahi ki
56,2024-03-21T00:00:00Z,Backlog boht ho raha hai
57,2024-03-21T00:00:00Z,Usne mujhe hurt kiya
58,2024-03-21T00:00:00Z,Mujhe aaj kuch samajh nahi aa raha
59,2024-03-21T00:00:00Z,Mujhe kaam mein tension ho rahi hai
60,2024-03-22T00:00:00Z,Usne mere saath cheat kiya
61,2024-03-22T00:00:00Z,Kaam karne mein mushkil ho rahi hai
62,2024-03-22T00:00:00Z,kuch samajh nahi aa raha
63,2024-03-22T00:00:00Z,Kaam ka bojh zyada ho raha hai
64,2024-03-22T00:00:00Z,Usne mujhe hurt bhot kiya
65,2024-03-22T00:00:00Z,Mujhe thoda bhot gussa aa raha hai
66,2024-03-22T00:00:00Z,Kaam karne mein maza aa raha hai
67,2024-03-22T00:00:00Z,Aaj ki subah bahut khushnuma thi
68,2024-03-22T00:00:00Z,Mujhe uski yaad bahut aa rahi hai
